adjuster_id,total_claims,total_claim_amount,suspicious_claims,pending_claims,workload_level
102,10,278918.57,5,6,High
251,10,260192.18,4,4,High
264,10,177981.43,3,3,High
236,10,210676.22999999998,4,2,High
190,10,163077.59,1,3,High
143,9,224013.12,6,3,Medium
117,9,212371.27000000002,1,4,Medium
282,9,262142.88,2,3,Medium
228,9,235095.87,2,5,Medium
202,9,291292.54000000004,5,5,Medium
224,9,222365.51,4,2,Medium
146,8,115786.36,1,1,Medium
128,8,269718.56,3,1,Medium
275,8,222072.3,2,4,Medium
299,8,169942.90999999997,3,2,Medium
208,8,268884.73,4,4,Medium
232,8,146224.65,2,0,Medium
170,8,171363.33000000002,6,4,Medium
164,8,208025.25,4,1,Medium
104,8,228051.61,5,4,Medium
101,8,263463.25,4,5,Medium
110,8,216130.07,4,4,Medium
124,8,199267.99,4,1,Medium
156,8,173535.89,4,0,Medium
159,8,296508.44,3,4,Medium
223,8,160846.33000000002,3,3,Medium
198,8,201898.41,3,3,Medium
250,8,205699.01,2,3,Medium
219,7,192823.48,3,0,Medium
133,7,217239.3,2,2,Medium
139,7,196325.69,0,1,Medium
113,7,272503.64,5,4,Medium
149,7,195104.85,3,2,Medium
112,7,181815.59,2,1,Medium
227,7,221689.34,2,4,Medium
226,7,167143.01,2,3,Medium
181,7,164016.48,1,3,Medium
184,7,158259.53,2,1,Medium
213,7,247887.65,6,2,Medium
273,7,170901.66,4,5,Medium
258,7,176988.27000000002,5,1,Medium
293,7,98141.28,4,5,Medium
173,6,121950.99,1,3,Medium
234,6,166531.43,3,4,Medium
216,6,129065.69,3,2,Medium
199,6,125803.59000000001,3,4,Medium
200,6,148769.96000000002,3,3,Medium
195,6,134422.03,5,2,Medium
189,6,143580.46,3,3,Medium
185,6,121766.89,5,4,Medium
119,6,142116.32,2,1,Medium
163,6,145767.98,1,2,Medium
106,6,178328.99,4,1,Medium
105,6,119528.4,1,4,Medium
108,6,163133.58000000002,2,4,Medium
134,6,142183.27000000002,2,2,Medium
130,6,192771.05,3,1,Medium
114,6,118649.19,1,2,Medium
132,6,67674.36,0,3,Medium
166,6,183203.14,2,2,Medium
171,6,127030.63,5,2,Medium
168,6,173517.47,2,2,Medium
169,6,156404.44,2,1,Medium
160,6,150200.38,1,3,Medium
188,6,157308.24,3,1,Medium
177,6,137139.09,4,3,Medium
269,6,140593.85,2,3,Medium
295,6,128289.11000000002,2,1,Medium
279,6,162178.19,5,3,Medium
253,6,107090.33,2,0,Medium
256,6,186476.27,4,1,Medium
248,6,173689.33000000002,3,2,Medium
246,6,149611.35,1,1,Medium
186,6,214952.02000000002,2,1,Medium
257,5,160183.27,2,3,Medium
118,5,158087.16,3,2,Medium
138,5,121626.88,2,1,Medium
136,5,112388.24,4,3,Medium
131,5,110485.54000000001,3,2,Medium
157,5,114040.54000000001,3,2,Medium
158,5,110977.35,3,1,Medium
103,5,142744.09,3,0,Medium
120,5,106345.48999999999,2,3,Medium
286,5,146820.62,1,2,Medium
300,5,129887.54,4,2,Medium
276,5,83053.93,2,1,Medium
284,5,118578.82,1,0,Medium
262,5,159441.45,1,0,Medium
254,5,188117.88999999998,3,3,Medium
214,5,132836.38,3,0,Medium
220,5,116307.77,3,2,Medium
229,5,90856.62,1,1,Medium
187,5,137035.34,0,0,Medium
225,5,98481.01,0,2,Medium
263,5,88724.26,2,3,Medium
239,5,106193.04999999999,2,3,Medium
237,5,122115.11,2,2,Medium
285,5,125975.33,1,1,Medium
287,5,146233.31,4,3,Medium
194,5,129726.05,3,1,Medium
