entity_id,score,watchlist_reason
8,49833.95,Suspicious Claim
839,49797.09,Suspicious Claim
525,49736.61,Suspicious Claim
557,49598.7,Suspicious Claim
877,49516.4,Suspicious Claim
341,49498.01,Suspicious Claim
302,49366.3,Suspicious Claim
983,49220.04,Suspicious Claim
665,49203.1,Suspicious Claim
796,49136.0,Suspicious Claim
97,49065.54,Suspicious Claim
455,49037.39,Suspicious Claim
64,48908.43,Suspicious Claim
937,48799.98,Suspicious Claim
707,48692.91,Suspicious Claim
437,48658.88,Suspicious Claim
306,48586.95,Suspicious Claim
614,48516.98,Suspicious Claim
168,48514.01,Suspicious Claim
782,48465.85,Suspicious Claim
476,48404.9,Suspicious Claim
24,48395.48,Suspicious Claim
224,48392.29,Suspicious Claim
194,48374.15,Suspicious Claim
488,48280.33,Suspicious Claim
275,48227.6,Suspicious Claim
69,48101.86,Suspicious Claim
102,48043.1,Suspicious Claim
816,48008.64,Suspicious Claim
629,47998.94,Suspicious Claim
212,47873.89,Suspicious Claim
765,47799.69,Suspicious Claim
90,47540.74,Suspicious Claim
987,47469.29,Suspicious Claim
245,47455.99,Suspicious Claim
900,47085.22,Suspicious Claim
636,46892.71,Suspicious Claim
121,46732.7,Suspicious Claim
474,46425.82,Suspicious Claim
103,46331.91,Suspicious Claim
666,46228.97,Suspicious Claim
988,46095.02,Suspicious Claim
251,46091.37,Suspicious Claim
986,45995.8,Suspicious Claim
377,45977.07,Suspicious Claim
381,45946.93,Suspicious Claim
422,45899.83,Suspicious Claim
34,45762.1,Suspicious Claim
864,45726.45,Suspicious Claim
579,45570.48,Suspicious Claim
503,45554.12,Suspicious Claim
439,45491.47,Suspicious Claim
562,45415.04,Suspicious Claim
884,45369.16,Suspicious Claim
668,45270.18,Suspicious Claim
556,45257.98,Suspicious Claim
659,45219.96,Suspicious Claim
492,45218.26,Suspicious Claim
905,45144.25,Suspicious Claim
108,45086.05,Suspicious Claim
32,45039.18,Suspicious Claim
651,44993.52,Suspicious Claim
157,44988.67,Suspicious Claim
373,44950.05,Suspicious Claim
313,44918.94,Suspicious Claim
933,44760.88,Suspicious Claim
783,44753.85,Suspicious Claim
167,44748.56,Suspicious Claim
578,44681.25,Suspicious Claim
253,44423.14,Suspicious Claim
801,44371.37,Suspicious Claim
690,44248.77,Suspicious Claim
925,44239.39,Suspicious Claim
258,44194.6,Suspicious Claim
296,44095.4,Suspicious Claim
613,44034.48,Suspicious Claim
421,43998.43,Suspicious Claim
467,43839.38,Suspicious Claim
735,43708.82,Suspicious Claim
920,43622.19,Suspicious Claim
51,43593.17,Suspicious Claim
650,43531.85,Suspicious Claim
