customer_id,total_claims,total_claim_amount,suspicious_claims,high_value_claims,risk_score,risk_level
4418,3,52570.01,3,1,180.257001,High
3324,2,88737.42,2,2,158.873742,High
1293,2,83957.20999999999,2,2,158.395721,High
3472,2,82360.43,2,2,158.236043,High
3978,2,78796.37,2,2,157.879637,High
2102,2,78480.98000000001,2,2,157.848098,High
3553,2,75040.93000000001,2,2,157.504093,High
1102,2,73747.32,2,2,157.374732,High
1331,2,73707.82,2,2,157.370782,High
4653,2,69132.61,2,2,156.913261,High
4994,2,68795.63,2,2,156.879563,High
3702,2,76032.03,2,1,132.603203,High
1202,2,71582.85,2,1,132.158285,High
3286,3,69976.20000000001,2,1,131.99762,High
3124,2,69011.64,2,1,131.901164,High
4407,2,53566.67,2,1,130.356667,High
2245,3,52886.66,2,1,130.288666,High
2920,2,50454.3,2,1,130.04543,High
1144,2,50294.259999999995,2,1,130.029426,High
3464,2,35049.4,2,1,128.50494,High
3794,3,105393.4,1,2,110.53934,High
1019,2,94894.39,1,2,109.489439,High
3194,2,86641.79000000001,1,2,108.664179,High
2394,2,86530.82999999999,1,2,108.653083,High
3934,2,86507.48000000001,1,2,108.65074800000001,High
4026,2,83450.48999999999,1,2,108.345049,High
4731,2,82371.39000000001,1,2,108.237139,High
3987,2,81641.3,1,2,108.16413,High
2419,2,81303.05,1,2,108.13030499999999,High
2673,2,81071.09,1,2,108.107109,High
2409,2,78534.78,1,2,107.853478,High
2838,2,73976.62,1,2,107.397662,High
2923,2,69457.69,1,2,106.945769,High
4392,2,66980.54000000001,1,2,106.698054,High
4829,2,66300.63,1,2,106.630063,High
2858,2,43578.01,2,0,104.357801,High
3862,2,42074.43,2,0,104.207443,High
3724,2,38447.81,2,0,103.844781,High
2060,2,17577.46,2,0,101.757746,High
3496,3,81243.13,1,1,83.124313,Medium
3389,2,75649.98999999999,1,1,82.564999,Medium
3938,2,74784.45999999999,1,1,82.478446,Medium
3797,3,71961.51,1,1,82.196151,Medium
4667,2,66289.23999999999,1,1,81.628924,Medium
3316,3,64053.51,1,1,81.405351,Medium
3904,2,62384.689999999995,1,1,81.238469,Medium
1606,2,61880.51,1,1,81.188051,Medium
2502,2,61155.13,1,1,81.11551299999999,Medium
2828,2,57893.47,1,1,80.789347,Medium
2320,2,57443.39,1,1,80.744339,Medium
2760,2,56489.95999999999,1,1,80.648996,Medium
1127,2,53623.79,1,1,80.362379,Medium
3431,2,52931.82000000001,1,1,80.293182,Medium
3920,2,52915.04,1,1,80.291504,Medium
2528,2,51253.54,1,1,80.125354,Medium
3355,1,49833.95,1,1,79.983395,Medium
3312,1,49797.09,1,1,79.979709,Medium
3519,1,49736.61,1,1,79.97366099999999,Medium
4930,1,49516.4,1,1,79.95164,Medium
1553,1,49498.01,1,1,79.949801,Medium
4649,1,49366.3,1,1,79.93663,Medium
3356,1,49220.04,1,1,79.922004,Medium
2554,1,49203.1,1,1,79.92031,Medium
2116,1,49136.0,1,1,79.9136,Medium
4578,1,49065.54,1,1,79.906554,Medium
1449,1,48799.98,1,1,79.879998,Medium
2544,1,48692.91,1,1,79.869291,Medium
2401,1,48658.88,1,1,79.865888,Medium
4413,1,48586.95,1,1,79.858695,Medium
1040,1,48516.98,1,1,79.851698,Medium
4603,1,48514.01,1,1,79.851401,Medium
2940,1,48465.85,1,1,79.846585,Medium
3152,1,48404.9,1,1,79.84049,Medium
3638,1,48395.48,1,1,79.83954800000001,Medium
4935,1,48392.29,1,1,79.839229,Medium
4454,1,48374.15,1,1,79.837415,Medium
2863,1,48280.33,1,1,79.828033,Medium
3679,1,48227.6,1,1,79.82276,Medium
3304,1,48101.86,1,1,79.810186,Medium
4589,1,48043.1,1,1,79.80431,Medium
1291,1,47998.94,1,1,79.799894,Medium
1910,1,47799.69,1,1,79.779969,Medium
2236,2,47663.630000000005,1,1,79.766363,Medium
2708,1,47540.74,1,1,79.754074,Medium
2837,1,47469.29,1,1,79.746929,Medium
2615,1,47455.99,1,1,79.745599,Medium
4758,1,47085.22,1,1,79.708522,Medium
4321,1,46892.71,1,1,79.689271,Medium
2253,2,46472.3,1,1,79.64723000000001,Medium
3855,1,46425.82,1,1,79.642582,Medium
2819,1,46331.91,1,1,79.633191,Medium
1885,1,46095.02,1,1,79.609502,Medium
4383,1,45977.07,1,1,79.597707,Medium
3212,1,45946.93,1,1,79.594693,Medium
1364,1,45899.83,1,1,79.589983,Medium
1547,1,45762.1,1,1,79.57621,Medium
2653,1,45726.45,1,1,79.572645,Medium
1358,2,45612.51,1,1,79.561251,Medium
2326,1,45570.48,1,1,79.557048,Medium
4923,1,45554.12,1,1,79.555412,Medium
3273,1,45491.47,1,1,79.549147,Medium
4389,1,45415.04,1,1,79.541504,Medium
2446,1,45369.16,1,1,79.536916,Medium
1877,1,45270.18,1,1,79.527018,Medium
3620,1,45219.96,1,1,79.521996,Medium
4485,1,45039.18,1,1,79.503918,Medium
3296,2,45023.78,1,1,79.502378,Medium
2155,1,44993.52,1,1,79.499352,Medium
4309,1,44988.67,1,1,79.498867,Medium
2191,2,44979.22,1,1,79.497922,Medium
4607,1,44760.88,1,1,79.476088,Medium
3096,1,44753.85,1,1,79.475385,Medium
2652,1,44748.56,1,1,79.474856,Medium
4202,1,44423.14,1,1,79.442314,Medium
1448,1,44371.37,1,1,79.437137,Medium
4556,1,44248.77,1,1,79.424877,Medium
3375,1,44194.6,1,1,79.41946,Medium
2556,1,44095.4,1,1,79.40953999999999,Medium
1421,1,43998.43,1,1,79.399843,Medium
1707,1,43839.38,1,1,79.383938,Medium
3055,1,43708.82,1,1,79.370882,Medium
3168,1,43622.19,1,1,79.362219,Medium
3072,1,43531.85,1,1,79.353185,Medium
3526,1,43525.47,1,1,79.352547,Medium
2353,1,43252.17,1,1,79.325217,Medium
1479,2,42818.43,1,1,79.281843,Medium
2963,1,42764.14,1,1,79.276414,Medium
4224,1,42748.98,1,1,79.27489800000001,Medium
3497,1,42702.82,1,1,79.270282,Medium
2783,1,42608.33,1,1,79.260833,Medium
1267,1,42604.96,1,1,79.260496,Medium
2511,1,42556.36,1,1,79.255636,Medium
1027,2,42514.11,1,1,79.251411,Medium
3769,1,42487.38,1,1,79.248738,Medium
1307,1,42173.25,1,1,79.217325,Medium
3564,1,42171.81,1,1,79.217181,Medium
1472,1,42144.23,1,1,79.214423,Medium
2953,1,41953.93,1,1,79.195393,Medium
4067,1,41795.48,1,1,79.179548,Medium
4324,1,41727.79,1,1,79.172779,Medium
2457,1,41612.73,1,1,79.161273,Medium
2435,1,41215.38,1,1,79.121538,Medium
3353,1,41129.09,1,1,79.112909,Medium
2345,1,41000.0,1,1,79.1,Medium
2019,1,40845.28,1,1,79.084528,Medium
4473,1,40631.2,1,1,79.06312,Medium
1611,1,40363.37,1,1,79.036337,Medium
3721,1,40317.26,1,1,79.031726,Medium
4733,1,40250.85,1,1,79.025085,Medium
3657,1,40248.1,1,1,79.02481,Medium
4688,1,40123.58,1,1,79.012358,Medium
3291,1,40004.72,1,1,79.000472,Medium
4403,1,39995.47,1,1,78.999547,Medium
1617,1,39970.31,1,1,78.99703099999999,Medium
4828,1,39740.26,1,1,78.974026,Medium
2493,1,39697.3,1,1,78.96973,Medium
1478,1,39652.97,1,1,78.965297,Medium
3207,1,39625.74,1,1,78.962574,Medium
1117,1,39544.72,1,1,78.954472,Medium
4366,1,39447.98,1,1,78.944798,Medium
4803,1,39387.52,1,1,78.938752,Medium
4740,1,39346.63,1,1,78.934663,Medium
4185,1,39332.32,1,1,78.933232,Medium
2072,1,39255.15,1,1,78.925515,Medium
2084,1,39252.34,1,1,78.925234,Medium
4131,1,39247.13,1,1,78.924713,Medium
3361,1,39089.31,1,1,78.908931,Medium
1917,1,38874.67,1,1,78.887467,Medium
4857,1,38806.1,1,1,78.88061,Medium
3722,1,38744.11,1,1,78.874411,Medium
1434,1,38700.39,1,1,78.870039,Medium
4892,1,38603.03,1,1,78.860303,Medium
4148,1,38561.15,1,1,78.856115,Medium
3819,1,38559.92,1,1,78.855992,Medium
1812,1,38546.83,1,1,78.854683,Medium
4655,1,38544.11,1,1,78.854411,Medium
2588,1,38526.29,1,1,78.85262900000001,Medium
3444,2,38495.83,1,1,78.849583,Medium
1961,1,38216.11,1,1,78.821611,Medium
4118,1,37968.19,1,1,78.796819,Medium
1246,1,37877.39,1,1,78.787739,Medium
1947,1,37710.75,1,1,78.771075,Medium
4714,1,37677.55,1,1,78.767755,Medium
4790,1,37663.64,1,1,78.766364,Medium
2581,1,37575.46,1,1,78.757546,Medium
1190,1,37562.86,1,1,78.756286,Medium
1401,1,37544.97,1,1,78.754497,Medium
3351,1,37369.26,1,1,78.736926,Medium
1786,1,37212.5,1,1,78.72125,Medium
4090,1,37209.92,1,1,78.720992,Medium
3528,1,37045.96,1,1,78.704596,Medium
2122,1,36920.65,1,1,78.692065,Medium
1615,1,36899.11,1,1,78.689911,Medium
2578,1,36680.19,1,1,78.668019,Medium
4376,1,36627.45,1,1,78.662745,Medium
3966,1,36418.36,1,1,78.641836,Medium
1781,1,36396.42,1,1,78.639642,Medium
4742,1,36018.38,1,1,78.601838,Medium
1966,1,35882.48,1,1,78.588248,Medium
1586,1,35844.39,1,1,78.584439,Medium
1772,1,35812.36,1,1,78.581236,Medium
4154,1,35747.75,1,1,78.574775,Medium
4139,1,35745.88,1,1,78.574588,Medium
4904,1,35285.25,1,1,78.528525,Medium
4616,1,35244.0,1,1,78.5244,Medium
