claim_id,customer_id,policy_type,claim_amount,claim_status,incident_type,state,adjuster_id,fraud_flag,claim_date
1,1858,Auto,21405.32,Denied,Accident,NE,226,0,2026-05-25 10:28:28.319826
2,1522,Life,26014.2,Denied,Flood,FL,241,0,2026-05-25 10:28:28.319873
3,3387,Home,10261.01,Pending,Accident,TN,283,0,2026-05-25 10:28:28.319895
4,3155,Auto,48596.16,Pending,Flood,LA,117,0,2026-05-25 10:28:28.319908
5,3496,Life,23920.96,Approved,Flood,MD,292,0,2026-05-25 10:28:28.319923
6,3248,Life,30712.12,Approved,Accident,VA,172,0,2026-05-25 10:28:28.319936
7,1290,Life,9925.26,Pending,Fire,OR,162,0,2026-05-25 10:28:28.319948
8,3355,Home,49833.95,Approved,Fire,AR,159,0,2026-05-25 10:28:28.319960
9,4784,Home,2849.13,Pending,Flood,VA,173,0,2026-05-25 10:28:28.319970
10,3256,Life,48582.11,Pending,Accident,MN,175,0,2026-05-25 10:28:28.319983
11,3434,Life,10885.65,Denied,Fire,OH,219,0,2026-05-25 10:28:28.319994
12,3158,Life,1006.94,Pending,Fire,IL,297,0,2026-05-25 10:28:28.320006
13,3884,Home,8092.25,Pending,Flood,NE,148,1,2026-05-25 10:28:28.320017
14,1053,Auto,22534.03,Denied,Accident,IL,291,0,2026-05-25 10:28:28.320034
15,1604,Home,2167.45,Approved,Fire,OH,147,0,2026-05-25 10:28:28.320046
16,4488,Home,18547.06,Approved,Flood,VI,133,1,2026-05-25 10:28:28.320057
17,2658,Auto,18812.23,Denied,Fire,AS,236,1,2026-05-25 10:28:28.320075
18,4218,Auto,42810.74,Pending,Accident,MO,279,0,2026-05-25 10:28:28.320087
19,2060,Home,6479.21,Approved,Flood,MO,236,1,2026-05-25 10:28:28.320097
20,3441,Life,35189.37,Pending,Fire,ME,271,1,2026-05-25 10:28:28.320109
21,4381,Home,4453.19,Approved,Accident,GU,298,0,2026-05-25 10:28:28.320119
22,2472,Life,34238.03,Denied,Theft,IA,258,0,2026-05-25 10:28:28.320129
23,2084,Life,39252.34,Approved,Flood,TX,236,1,2026-05-25 10:28:28.320141
24,3638,Life,48395.48,Approved,Fire,CA,280,0,2026-05-25 10:28:28.320152
25,2777,Life,29218.84,Pending,Theft,TN,208,0,2026-05-25 10:28:28.320163
26,3124,Life,39611.72,Pending,Fire,PR,101,1,2026-05-25 10:28:28.320176
27,3291,Auto,40004.72,Pending,Theft,AZ,113,0,2026-05-25 10:28:28.320189
28,1617,Auto,39970.31,Approved,Fire,RI,107,0,2026-05-25 10:28:28.320200
29,4345,Auto,21017.97,Pending,Accident,CT,132,0,2026-05-25 10:28:28.320212
30,1928,Home,15862.56,Pending,Flood,MA,172,1,2026-05-25 10:28:28.320222
31,1051,Life,11058.25,Denied,Theft,NC,267,0,2026-05-25 10:28:28.320232
32,4485,Auto,45039.18,Approved,Theft,ID,237,0,2026-05-25 10:28:28.320243
33,1202,Home,42914.14,Pending,Accident,MT,185,1,2026-05-25 10:28:28.320253
34,1547,Life,45762.1,Approved,Fire,MN,176,0,2026-05-25 10:28:28.320264
35,4358,Home,49968.27,Pending,Flood,AR,251,0,2026-05-25 10:28:28.320275
36,3856,Life,2545.05,Approved,Theft,DC,222,0,2026-05-25 10:28:28.320285
37,2450,Life,48412.39,Approved,Flood,NC,228,0,2026-05-25 10:28:28.320302
38,1852,Home,22265.43,Denied,Fire,VI,248,0,2026-05-25 10:28:28.320314
39,4401,Home,21184.58,Pending,Accident,VT,286,0,2026-05-25 10:28:28.320323
40,3572,Home,10457.48,Denied,Flood,TN,124,0,2026-05-25 10:28:28.320333
41,4760,Home,12833.38,Approved,Theft,NH,296,0,2026-05-25 10:28:28.320343
42,3648,Life,35241.52,Pending,Flood,UT,257,0,2026-05-25 10:28:28.320354
43,4653,Auto,37173.96,Approved,Theft,HI,188,0,2026-05-25 10:28:28.320363
44,3030,Auto,35787.48,Pending,Accident,GA,200,0,2026-05-25 10:28:28.320374
45,4179,Life,23740.53,Denied,Fire,ND,247,0,2026-05-25 10:28:28.320384
46,1084,Life,17234.35,Denied,Flood,MS,161,0,2026-05-25 10:28:28.320394
47,1537,Auto,20198.74,Pending,Fire,OH,143,1,2026-05-25 10:28:28.320403
48,3921,Life,14279.07,Pending,Fire,SD,127,0,2026-05-25 10:28:28.320413
49,1866,Home,27440.28,Approved,Flood,NH,243,0,2026-05-25 10:28:28.320423
50,1846,Home,36769.05,Denied,Flood,GA,138,0,2026-05-25 10:28:28.320433
51,3324,Life,43593.17,Denied,Theft,MD,192,1,2026-05-25 10:28:28.320443
52,3966,Home,36418.36,Pending,Fire,FL,283,0,2026-05-25 10:28:28.320453
53,3987,Auto,34378.62,Pending,Accident,TN,192,1,2026-05-25 10:28:28.320464
54,4801,Home,11558.72,Denied,Flood,WA,256,0,2026-05-25 10:28:28.320475
55,4151,Home,13878.84,Denied,Accident,NC,154,0,2026-05-25 10:28:28.320486
56,1027,Auto,30931.89,Pending,Theft,NM,155,0,2026-05-25 10:28:28.320500
57,3303,Home,15342.33,Denied,Fire,PW,194,1,2026-05-25 10:28:28.320512
58,1019,Auto,49676.13,Pending,Accident,SC,250,0,2026-05-25 10:28:28.320524
